"Date","Time","Longitude","Latitude"
"27/03/2020","12:04:08.00",-38.0653165,-54.009239
"27/03/2020","12:04:09.00",-38.0653165,-54.009239
"27/03/2020","12:04:10.00",-38.0653165,-54.009239
"27/03/2020","12:04:11.00",-38.0653165,-54.009239
"27/03/2020","12:04:12.00",-38.0653165,-54.009239
"27/03/2020","12:04:13.00",-38.0653165,-54.009239
"27/03/2020","12:04:14.00",-38.0653165,-54.009239
"27/03/2020","12:04:15.00",-38.0653165,-54.009239
"27/03/2020","12:04:16.00",-38.0653165,-54.009239
"27/03/2020","12:04:17.00",-38.0653165,-54.009239
"27/03/2020","12:04:18.00",-38.0653165,-54.009239
"27/03/2020","12:04:19.00",-38.0653165,-54.009239
"27/03/2020","12:04:20.00",-38.0653165,-54.009239
"27/03/2020","12:04:21.00",-38.0653165,-54.009239
"27/03/2020","12:04:22.00",-38.0653165,-54.009239
"27/03/2020","12:04:23.00",-38.0653165,-54.009239
"27/03/2020","12:04:24.00",-38.0653165,-54.009239
"27/03/2020","12:04:25.00",-38.0653165,-54.009239
"27/03/2020","12:04:26.00",-38.0653166,-54.009239
"27/03/2020","12:04:27.00",-38.0653166,-54.009239
"27/03/2020","12:04:28.00",-38.0653166,-54.009239
"27/03/2020","12:04:29.00",-38.0653166,-54.009239
"27/03/2020","12:04:30.00",-38.0653166,-54.009239
"27/03/2020","12:04:31.00",-38.0653166,-54.009239
"27/03/2020","12:04:32.00",-38.0653166,-54.009239
"27/03/2020","12:04:33.00",-38.0653166,-54.009239
"27/03/2020","12:04:34.00",-38.0653166,-54.009239
"27/03/2020","12:04:35.00",-38.0653166,-54.009239
"27/03/2020","12:04:36.00",-38.0653166,-54.009239
"27/03/2020","12:04:37.00",-38.0653166,-54.009239
"27/03/2020","12:04:38.00",-38.0653166,-54.009239
"27/03/2020","12:04:39.00",-38.0653166,-54.009239
"27/03/2020","12:04:40.00",-38.0653166,-54.009239
"27/03/2020","12:04:41.00",-38.0653166,-54.009239
"27/03/2020","12:04:42.00",-38.0653166,-54.009239
"27/03/2020","12:04:43.00",-38.0653166,-54.009239
"27/03/2020","12:04:44.00",-38.0653166,-54.009239
"27/03/2020","12:04:45.00",-38.0653166,-54.009239
"27/03/2020","12:04:46.00",-38.0653166,-54.009239
"27/03/2020","12:04:47.00",-38.0653166,-54.009239
"27/03/2020","12:04:48.00",-38.0653166,-54.009239
"27/03/2020","12:04:49.00",-38.0653166,-54.009239
"27/03/2020","12:04:50.00",-38.0653167,-54.009239
"27/03/2020","12:04:51.00",-38.0653167,-54.009239
"27/03/2020","12:04:52.00",-38.0653167,-54.009239
"27/03/2020","12:04:53.00",-38.0653167,-54.009239
"27/03/2020","12:04:54.00",-38.0653167,-54.009239
"27/03/2020","12:04:55.00",-38.0653167,-54.009239
"27/03/2020","12:04:56.00",-38.0653167,-54.009239
"27/03/2020","12:04:57.00",-38.0653167,-54.0092391
"27/03/2020","12:04:58.00",-38.0653167,-54.0092391
"27/03/2020","12:04:59.00",-38.0653167,-54.0092391
"27/03/2020","12:04:60.00",-38.0653167,-54.0092391
"27/03/2020","12:05:01.00",-38.0653167,-54.0092391
"27/03/2020","12:05:02.00",-38.0653167,-54.0092391
"27/03/2020","12:05:03.00",-38.0653167,-54.0092391
"27/03/2020","12:05:04.00",-38.0653167,-54.0092391
"27/03/2020","12:05:05.00",-38.0653167,-54.0092391
"27/03/2020","12:05:06.00",-38.0653167,-54.0092391
"27/03/2020","12:05:07.00",-38.0653167,-54.0092391
"27/03/2020","12:05:08.00",-38.0653167,-54.0092391
"27/03/2020","12:05:09.00",-38.0653167,-54.0092391
"27/03/2020","12:05:10.00",-38.0653167,-54.0092391
"27/03/2020","12:05:11.00",-38.0653167,-54.0092391
"27/03/2020","12:05:12.00",-38.0653167,-54.0092391
"27/03/2020","12:05:13.00",-38.0653167,-54.0092391
