"bird_id","status","sex","colony_coord","date_time","X","Y"
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:35:11 UTC",-67.958694,-67.452767
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:45:08 UTC",-67.958704,-67.452896
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 03:55:08 UTC",-67.958671,-67.452944
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:05:04 UTC",-67.958712,-67.452812
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:15:00 UTC",-67.958153,-67.452111
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:25:02 UTC",-67.95822,-67.449822
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:34:58 UTC",-67.948535,-67.451532
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:44:56 UTC",-67.953511,-67.455123
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 04:55:12 UTC",-67.958284,-67.453104
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 05:05:12 UTC",-67.958441,-67.454047
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 05:15:17 UTC",-67.959232,-67.45445
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 05:25:15 UTC",-67.958335,-67.454908
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 05:35:14 UTC",-67.957628,-67.455187
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 05:45:11 UTC",-67.965609,-67.456995
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 05:55:11 UTC",-67.965912,-67.456941
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 06:05:09 UTC",-67.964954,-67.457069
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 06:15:03 UTC",-67.965793,-67.456997
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 06:25:02 UTC",-67.96579,-67.457008
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 06:35:43 UTC",-67.95077,-67.452811
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 06:45:39 UTC",-67.949395,-67.450717
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 06:55:39 UTC",-67.935119,-67.445721
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 07:05:37 UTC",-67.952919,-67.454673
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 07:17:53 UTC",-67.954188,-67.456179
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 07:27:53 UTC",-67.954479,-67.456722
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 07:37:52 UTC",-67.951983,-67.45373
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 07:47:56 UTC",-67.952541,-67.454174
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-05 07:57:55 UTC",-67.996051,-67.478029
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 01:53:14 UTC",-68.045576,-67.538461
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:03:13 UTC",-67.975104,-67.471529
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:13:09 UTC",-67.957692,-67.45297
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:23:08 UTC",-67.95835,-67.452919
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:33:07 UTC",-67.9096,-67.441626
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:43:23 UTC",-67.904788,-67.450657
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:53:43 UTC",-67.904626,-67.448031
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:03:42 UTC",-67.923143,-67.43857
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:13:37 UTC",-67.915202,-67.441302
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:23:36 UTC",-67.915334,-67.441782
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:33:36 UTC",-67.915246,-67.441328
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:43:36 UTC",-67.915399,-67.441324
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:53:35 UTC",-67.915249,-67.441361
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:03:34 UTC",-67.914477,-67.441261
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:13:37 UTC",-67.914684,-67.441144
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:23:36 UTC",-67.913432,-67.442464
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:33:34 UTC",-67.91459,-67.446382
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:43:35 UTC",-67.91471,-67.446528
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:53:34 UTC",-67.914637,-67.446561
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:03:34 UTC",-67.914705,-67.446556
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:13:27 UTC",-67.914432,-67.446523
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:23:27 UTC",-67.914689,-67.446614
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:33:26 UTC",-67.914385,-67.44658
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:43:20 UTC",-67.914504,-67.44651
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:53:19 UTC",-67.913313,-67.446017
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:03:18 UTC",-67.913862,-67.446753
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:13:35 UTC",-67.914498,-67.447548
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:23:33 UTC",-67.913461,-67.447457
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:33:32 UTC",-67.913669,-67.450985
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:43:26 UTC",-67.913793,-67.45083
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:53:25 UTC",-67.913739,-67.450986
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 07:04:05 UTC",-67.910701,-67.452884
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 07:14:19 UTC",-67.948557,-67.463679
"KB_19","good","Male",c(-68.068935, -67.570716),"2022-01-06 07:24:18 UTC",-68.005615,-67.487102
"KB_27","good","Female",c(-68.068935, -67.570716),"2022-01-04 00:12:48 UTC",0,0
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 10:26:41 UTC",-68.057465,-67.543733
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 10:36:39 UTC",-68.033538,-67.534006
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 10:46:33 UTC",-68.03125,-67.533275
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 10:56:41 UTC",-68.03423,-67.52557
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 11:06:32 UTC",-68.020013,-67.509511
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 11:16:27 UTC",-68.00905,-67.509057
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 11:27:31 UTC",-68.003689,-67.508199
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 11:37:30 UTC",-67.987625,-67.491742
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 11:47:24 UTC",-67.868866,-67.407269
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 11:57:23 UTC",-67.811081,-67.307761
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 12:07:22 UTC",-67.803743,-67.284585
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 12:19:40 UTC",-67.801071,-67.286078
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 12:29:53 UTC",-67.80131,-67.286024
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 12:39:43 UTC",-67.800427,-67.285917
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 12:49:38 UTC",-67.799963,-67.286026
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 12:59:37 UTC",-67.801383,-67.286324
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 13:09:36 UTC",-67.800747,-67.286261
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 13:21:53 UTC",-67.799551,-67.286346
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 13:31:53 UTC",-67.768136,-67.288651
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 13:41:52 UTC",-67.769133,-67.288747
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 13:51:45 UTC",-67.768668,-67.288674
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 14:01:46 UTC",-67.769211,-67.288638
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 14:11:54 UTC",-67.769004,-67.288617
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 14:21:41 UTC",-67.768877,-67.288642
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 14:31:40 UTC",-67.769389,-67.288725
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 14:41:36 UTC",-67.768968,-67.288886
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 14:51:31 UTC",-67.769083,-67.288929
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 15:01:38 UTC",-67.76877,-67.288836
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 15:13:19 UTC",-67.795839,-67.285903
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 15:23:12 UTC",-67.803508,-67.286042
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 15:33:14 UTC",-67.8043,-67.28593
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 15:43:28 UTC",-67.8014,-67.286933
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 15:55:57 UTC",-67.803463,-67.286473
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 16:06:01 UTC",-67.804693,-67.287619
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 16:15:57 UTC",-67.841233,-67.3344
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 16:25:51 UTC",-67.911971,-67.411541
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 16:35:52 UTC",-67.970654,-67.469236
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 16:45:52 UTC",-67.970686,-67.469215
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 16:55:44 UTC",-68.032886,-67.513791
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-04 17:05:43 UTC",-68.044044,-67.526793
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-05 11:07:12 UTC",-68.030958,-67.533613
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-05 11:19:37 UTC",-68.027292,-67.531265
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-05 11:29:31 UTC",-67.961784,-67.47778
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-05 11:39:31 UTC",-67.830355,-67.388541
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-05 11:49:30 UTC",-67.795575,-67.295249
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-05 11:59:27 UTC",-67.803203,-67.286201
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-05 12:09:23 UTC",-67.806812,-67.28527
"KB_17","good","Male",c(-68.068935, -67.570716),"2022-01-05 12:22:21 UTC",-67.805578,-67.285205
